line_id,transaction_id,datetime,shop_id,product_id,quantity,price,cost
L0006155,T003480,2024-01-01 08:41:30,S002,P018,1,225,90
L0006156,T003480,2024-01-01 08:41:30,S002,P066,1,125,75
L0004092,T002329,2024-01-01 08:50:00,S002,P024,1,385,130
L0026083,T014565,2024-01-01 08:52:15,S002,P014,1,215,95
L0026084,T014565,2024-01-01 08:52:15,S002,P064,1,135,75
L0025385,T014173,2024-01-01 09:00:00,S003,P064,1,135,115
L0007462,T004235,2024-01-01 09:24:00,S001,P010,1,205,70
L0003852,T002190,2024-01-01 09:58:30,S001,P071,1,325,190
L0003853,T002190,2024-01-01 09:58:30,S001,P057,1,155,80
L0003854,T002190,2024-01-01 09:58:30,S001,P059,1,245,140
L0003855,T002190,2024-01-01 09:58:30,S001,P066,1,125,70
L0028667,T015973,2024-01-01 10:29:15,S002,P014,1,215,80
L0026805,T014949,2024-01-01 10:59:30,S001,P006,1,155,60
L0026806,T014949,2024-01-01 10:59:30,S001,P046,1,135,40
L0026807,T014949,2024-01-01 10:59:30,S001,P060,1,255,125
L0027987,T015615,2024-01-01 11:15:15,S001,P066,1,125,65
L0027988,T015615,2024-01-01 11:15:15,S001,P022,2,245,85
L0027989,T015615,2024-01-01 11:15:15,S001,P069,2,315,210
L0000937,T000543,2024-01-01 12:04:00,S001,P070,1,335,205
L0000938,T000543,2024-01-01 12:04:00,S001,P037,1,90,30
L0000939,T000543,2024-01-01 12:04:00,S001,P071,3,325,200
L0021016,T011713,2024-01-01 12:31:00,S001,P070,1,335,220
L0021017,T011713,2024-01-01 12:31:00,S001,P039,1,140,40
L0024398,T013600,2024-01-01 13:44:00,S002,P009,1,160,65
L0024399,T013600,2024-01-01 13:44:00,S002,P007,1,190,70
L0018691,T010425,2024-01-01 14:26:45,S001,P016,1,340,110
L0018692,T010425,2024-01-01 14:26:45,S001,P067,1,185,95
L0034736,T019336,2024-01-01 14:30:00,S002,P061,1,95,55
L0012075,T006811,2024-01-01 14:44:45,S001,P014,1,215,75
L0000201,T000110,2024-01-01 15:18:00,S003,P059,1,245,190
L0012802,T007204,2024-01-01 15:38:30,S003,P011,1,250,145
L0012803,T007204,2024-01-01 15:38:30,S003,P066,1,125,105
L0001250,T000722,2024-01-01 16:17:15,S002,P055,1,200,70
L0001251,T000722,2024-01-01 16:17:15,S002,P060,1,255,140
L0001252,T000722,2024-01-01 16:17:15,S002,P034,1,240,115
L0001253,T000722,2024-01-01 16:17:15,S002,P043,1,150,50
L0014291,T008010,2024-01-01 16:34:00,S001,P002,1,125,40
L0014292,T008010,2024-01-01 16:34:00,S001,P023,1,300,115
