product_id,product_name,category,price,is_hot
P001,Эспрессо 200 мл,Кофе,100,Горячий
P002,Эспрессо 300 мл,Кофе,125,Горячий
P003,Эспрессо 400 мл,Кофе,150,Горячий
P004,Эспрессо 600 мл,Кофе,200,Горячий
P005,Американо 200 мл,Кофе,120,Горячий
P006,Американо 300 мл,Кофе,155,Горячий
P007,Американо 400 мл,Кофе,190,Горячий
P008,Американо 600 мл,Кофе,245,Горячий
P009,Капучино 200 мл,Кофе,160,Горячий
P010,Капучино 300 мл,Кофе,205,Горячий
P011,Капучино 400 мл,Кофе,250,Горячий
P012,Капучино 600 мл,Кофе,325,Горячий
P013,Латте 200 мл,Кофе,170,Горячий
P014,Латте 300 мл,Кофе,215,Горячий
P015,Латте 400 мл,Кофе,260,Горячий
P016,Латте 600 мл,Кофе,340,Горячий
P017,Флэт уайт 200 мл,Кофе,175,Горячий
P018,Флэт уайт 300 мл,Кофе,225,Горячий
P019,Флэт уайт 400 мл,Кофе,275,Горячий
P020,Флэт уайт 600 мл,Кофе,355,Горячий
P021,Раф 200 мл,Кофе,190,Горячий
P022,Раф 300 мл,Кофе,245,Горячий
P023,Раф 400 мл,Кофе,300,Горячий
P024,Раф 600 мл,Кофе,385,Горячий
P025,Мокко 200 мл,Кофе,185,Горячий
P026,Мокко 300 мл,Кофе,235,Горячий
P027,Мокко 400 мл,Кофе,285,Горячий
P028,Мокко 600 мл,Кофе,370,Горячий
P029,Айс-латте 200 мл,Кофе,170,Холодный
P030,Айс-латте 300 мл,Кофе,220,Холодный
P031,Айс-латте 400 мл,Кофе,270,Холодный
P032,Айс-латте 600 мл,Кофе,350,Холодный
P033,Колд брю 200 мл,Кофе,185,Холодный
P034,Колд брю 300 мл,Кофе,240,Холодный
P035,Колд брю 400 мл,Кофе,295,Холодный
P036,Колд брю 600 мл,Кофе,380,Холодный
P037,Черный чай 200 мл,Чай,90,Горячий
P038,Черный чай 300 мл,Чай,115,Горячий
P039,Черный чай 400 мл,Чай,140,Горячий
P040,Черный чай 600 мл,Чай,180,Горячий
P041,Зеленый чай 200 мл,Чай,100,Горячий
P042,Зеленый чай 300 мл,Чай,125,Горячий
P043,Зеленый чай 400 мл,Чай,150,Горячий
P044,Зеленый чай 600 мл,Чай,200,Горячий
P045,Эрл Грей 200 мл,Чай,105,Горячий
P046,Эрл Грей 300 мл,Чай,135,Горячий
P047,Эрл Грей 400 мл,Чай,165,Горячий
P048,Эрл Грей 600 мл,Чай,215,Горячий
P049,Матча латте 200 мл,Чай,175,Горячий
P050,Матча латте 300 мл,Чай,225,Горячий
P051,Матча латте 400 мл,Чай,275,Горячий
P052,Матча латте 600 мл,Чай,355,Горячий
P053,Айс-ти персик 200 мл,Чай,130,Холодный
P054,Айс-ти персик 300 мл,Чай,165,Холодный
P055,Айс-ти персик 400 мл,Чай,200,Холодный
P056,Айс-ти персик 600 мл,Чай,260,Холодный
P057,Круассан,Выпечка,155,Не напиток
P058,Маффин,Выпечка,145,Не напиток
P059,Чизкейк,Выпечка,245,Не напиток
P060,Сырники,Выпечка,255,Не напиток
P061,Печенье овсяное,Выпечка,95,Не напиток
P062,Брауни,Выпечка,175,Не напиток
P063,Киш с сыром,Выпечка,225,Не напиток
P064,Булочка с корицей,Выпечка,135,Не напиток
P065,Эклер,Выпечка,165,Не напиток
P066,Пончик,Выпечка,125,Не напиток
P067,Банановый хлеб,Выпечка,185,Не напиток
P068,Сэндвич с курицей,Сэндвичи,295,Не напиток
P069,Сэндвич с тунцом,Сэндвичи,315,Не напиток
P070,Панини с моцареллой,Сэндвичи,335,Не напиток
P071,Ролл с индейкой,Сэндвичи,325,Не напиток
P072,Боул с яйцом,Сэндвичи,355,Не напиток
